order_id,merchant_id,customer_id,customer_name,customer_email,customer_phone,order_amount,currency,status,created_at
ord_live_1001,mer_NSR_882910,cust_2001,Rahul Sharma,rahul.sharma1@example.test,+91-98XXXX1001,10024.0,INR,PAID,2026-07-14 13:47:06
ord_live_1002,mer_NSR_882910,cust_2002,Kavya Deshmukh,kavya.deshmukh2@example.test,+91-98XXXX1002,160.0,INR,PAID,2026-07-05 15:14:32
ord_live_1003,mer_NSR_882910,cust_2003,Ananya Reddy,ananya.reddy3@example.test,+91-98XXXX1003,1429.0,INR,PAID,2026-08-14 02:26:14
ord_live_1004,mer_NSR_882910,cust_2004,Riya Deshmukh,riya.deshmukh4@example.test,+91-98XXXX1004,1879.0,INR,PAID,2026-06-30 14:44:27
ord_live_1005,mer_NSR_882910,cust_2005,Ishita Patel,ishita.patel5@example.test,+91-98XXXX1005,1662.0,INR,PAID,2026-07-21 12:05:24
ord_live_1006,mer_NSR_882910,cust_2006,Rahul Singh,rahul.singh6@example.test,+91-98XXXX1006,59565.0,INR,PAID,2026-07-16 10:46:29
ord_live_1007,mer_NSR_882910,cust_2007,Rahul Kumar,rahul.kumar7@example.test,+91-98XXXX1007,699.0,INR,PAID,2026-08-10 04:56:55
ord_live_1008,mer_NSR_882910,cust_2008,Amit Deshmukh,amit.deshmukh8@example.test,+91-98XXXX1008,241.0,INR,PAID,2026-07-03 06:14:49
ord_live_1009,mer_NSR_882910,cust_2009,Siddharth Mehta,siddharth.mehta9@example.test,+91-98XXXX1009,26619.0,INR,PAID,2026-07-24 17:29:40
ord_live_1010,mer_NSR_882910,cust_2010,Amit Iyer,amit.iyer10@example.test,+91-98XXXX1010,528.0,INR,PAID,2026-08-11 17:44:59
ord_live_1011,mer_NSR_882910,cust_2011,Kavya Deshmukh,kavya.deshmukh11@example.test,+91-98XXXX1011,19502.0,INR,PAID,2026-08-15 16:10:29
ord_live_1012,mer_NSR_882910,cust_2012,Pooja Patel,pooja.patel12@example.test,+91-98XXXX1012,148001.0,INR,PAID,2026-07-15 06:20:53
ord_live_1013,mer_NSR_882910,cust_2013,Rohan Gupta,rohan.gupta13@example.test,+91-98XXXX1013,72759.0,INR,PAID,2026-07-20 21:17:04
ord_live_1014,mer_NSR_882910,cust_2014,Neha Deshmukh,neha.deshmukh14@example.test,+91-98XXXX1014,40622.0,INR,PAID,2026-07-14 05:31:25
ord_live_1015,mer_NSR_882910,cust_2015,Riya Iyer,riya.iyer15@example.test,+91-98XXXX1015,604.0,INR,PAID,2026-08-17 02:34:16
ord_live_1016,mer_NSR_882910,cust_2016,Karan Deshmukh,karan.deshmukh16@example.test,+91-98XXXX1016,548.0,INR,PAID,2026-07-09 01:31:05
ord_live_1017,mer_NSR_882910,cust_2017,Rohan Mehta,rohan.mehta17@example.test,+91-98XXXX1017,426.0,INR,PAID,2026-08-20 06:27:38
ord_live_1018,mer_NSR_882910,cust_2018,Kavya Kumar,kavya.kumar18@example.test,+91-98XXXX1018,1057.0,INR,PAID,2026-08-02 17:35:55
ord_live_1019,mer_NSR_882910,cust_2019,Ananya Joshi,ananya.joshi19@example.test,+91-98XXXX1019,19595.0,INR,PAID,2026-08-17 17:49:41
ord_live_1020,mer_NSR_882910,cust_2020,Ishita Mehta,ishita.mehta20@example.test,+91-98XXXX1020,422.0,INR,PAID,2026-07-29 09:46:56
ord_live_1021,mer_NSR_882910,cust_2021,Sneha Reddy,sneha.reddy21@example.test,+91-98XXXX1021,18635.0,INR,PAID,2026-07-07 05:19:53
